tau,C(tau)
0,1.37815
0.05,1.37635
0.1,1.37101
0.15,1.36225
0.2,1.35018
0.25,1.33501
0.3,1.31695
0.35,1.29626
0.4,1.27322
0.45,1.24813
0.5,1.22127
0.55,1.19293
0.6,1.16337
0.65,1.13286
0.7,1.10163
0.75,1.0699
0.8,1.03785
0.85,1.00566
0.9,0.973459
0.95,0.941371
1,0.909493
1.05,0.877905
1.1,0.846664
1.15,0.81581
1.2,0.785375
1.25,0.755377
1.3,0.725822
1.35,0.69671
1.4,0.668034
1.45,0.639786
1.5,0.611954
1.55,0.584526
1.6,0.557493
1.65,0.530846
1.7,0.50458
1.75,0.478695
1.8,0.45319
1.85,0.428068
1.9,0.403337
1.95,0.378998
2,0.355057
2.05,0.331511
2.1,0.308361
2.15,0.285603
2.2,0.263224
2.25,0.24121
2.3,0.219543
2.35,0.1982
2.4,0.17715
2.45,0.156364
2.5,0.135811
2.55,0.115456
2.6,0.0952672
2.65,0.0752066
2.7,0.0552451
2.75,0.0353551
2.8,0.015511
2.85,-0.00430349
2.9,-0.0241054
2.95,-0.0439064
3,-0.0637138
3.05,-0.0835284
3.1,-0.103347
3.15,-0.123168
3.2,-0.142983
3.25,-0.162786
3.3,-0.182567
3.35,-0.202312
3.4,-0.222009
3.45,-0.241639
3.5,-0.261191
3.55,-0.280651
3.6,-0.299999
3.65,-0.31921
3.7,-0.338268
3.75,-0.357147
3.8,-0.375821
3.85,-0.394264
3.9,-0.41244
3.95,-0.430308
4,-0.447829
4.05,-0.464957
4.1,-0.48164
4.15,-0.497817
4.2,-0.513428
4.25,-0.528405
4.3,-0.542683
4.35,-0.556195
4.4,-0.568873
4.45,-0.58066
4.5,-0.591493
4.55,-0.601334
4.6,-0.610156
4.65,-0.617944
4.7,-0.624698
4.75,-0.630437
4.8,-0.635196
4.85,-0.63903
4.9,-0.642007
4.95,-0.644203
5,-0.645705
5.05,-0.646615
5.1,-0.647026
5.15,-0.647039
5.2,-0.646749
5.25,-0.646246
5.3,-0.645616
5.35,-0.644932
5.4,-0.644256
5.45,-0.643641
5.5,-0.643126
5.55,-0.642732
5.6,-0.642477
5.65,-0.642355
5.7,-0.642343
5.75,-0.64241
5.8,-0.642509
5.85,-0.642574
5.9,-0.642534
5.95,-0.642309
6,-0.641806
6.05,-0.64093
6.1,-0.639589
6.15,-0.637695
6.2,-0.635162
6.25,-0.631911
6.3,-0.627877
6.35,-0.623009
6.4,-0.617263
6.45,-0.610611
6.5,-0.603041
6.55,-0.594554
6.6,-0.585164
6.65,-0.574898
6.7,-0.563795
6.75,-0.551895
6.8,-0.539248
6.85,-0.525909
6.9,-0.511928
6.95,-0.497359
7,-0.482251
7.05,-0.46666
7.1,-0.450621
7.15,-0.434167
7.2,-0.417335
7.25,-0.400156
7.3,-0.382655
7.35,-0.364862
7.4,-0.346799
7.45,-0.328487
7.5,-0.309952
7.55,-0.291228
7.6,-0.272346
7.65,-0.25334
7.7,-0.234255
7.75,-0.215138
7.8,-0.196049
7.85,-0.177046
7.9,-0.158188
7.95,-0.139538
8,-0.121155
8.05,-0.103101
8.1,-0.0854278
8.15,-0.0681884
8.2,-0.0514252
8.25,-0.0351749
8.3,-0.0194634
8.35,-0.00431085
8.4,0.0102728
8.45,0.024288
8.5,0.0377411
8.55,0.0506474
8.6,0.0630235
8.65,0.0748978
8.7,0.0862985
8.75,0.0972534
8.8,0.107793
8.85,0.117946
8.9,0.12774
8.95,0.137198
9,0.146342
9.05,0.155187
9.1,0.163743
9.15,0.172022
9.2,0.180034
9.25,0.187788
9.3,0.195296
9.35,0.202575
9.4,0.209643
9.45,0.21652
9.5,0.223239
9.55,0.229836
9.6,0.236355
9.65,0.242838
9.7,0.249338
9.75,0.25591
9.8,0.262612
9.85,0.269495
9.9,0.276614
9.95,0.284022
10,0.291766
10.05,0.299886
10.1,0.308413
10.15,0.317362
10.2,0.326743
10.25,0.336553
10.3,0.34677
10.35,0.35736
10.4,0.368275
10.45,0.379453
10.5,0.390819
10.55,0.402283
10.6,0.413749
10.65,0.425112
10.7,0.436269
10.75,0.447107
10.8,0.457522
10.85,0.467408
10.9,0.476676
10.95,0.485244
11,0.49304
11.05,0.500007
11.1,0.506101
11.15,0.511292
11.2,0.515564
11.25,0.51892
11.3,0.521367
11.35,0.522925
11.4,0.523626
11.45,0.523504
11.5,0.522597
11.55,0.520949
11.6,0.518601
11.65,0.515593
11.7,0.511964
11.75,0.507745
11.8,0.502967
11.85,0.497656
11.9,0.491832
11.95,0.485516
12,0.478722
12.05,0.471464
12.1,0.463759
12.15,0.455622
12.2,0.44707
12.25,0.438127
12.3,0.428816
12.35,0.419167
12.4,0.409211
12.45,0.398979
12.5,0.388513
12.55,0.377852
12.6,0.367036
12.65,0.356109
12.7,0.345119
12.75,0.334106
12.8,0.323111
12.85,0.312175
12.9,0.301327
12.95,0.290586
13,0.279971
13.05,0.269488
13.1,0.259133
13.15,0.248886
13.2,0.238724
13.25,0.228615
13.3,0.218521
13.35,0.208396
13.4,0.198182
13.45,0.187829
13.5,0.177277
13.55,0.166481
13.6,0.155398
13.65,0.143988
13.7,0.132225
13.75,0.12009
13.8,0.107582
13.85,0.0947138
13.9,0.0815092
13.95,0.0679973
14,0.0542182
14.05,0.0402189
14.1,0.026054
14.15,0.0117798
14.2,-0.00254897
14.25,-0.016877
14.3,-0.0311492
14.35,-0.0453177
14.4,-0.0593307
14.45,-0.0731446
14.5,-0.0867263
14.55,-0.100043
14.6,-0.113068
14.65,-0.125778
14.7,-0.138161
14.75,-0.150208
14.8,-0.161916
14.85,-0.173289
14.9,-0.184329
14.95,-0.195044
15,-0.205442
15.05,-0.215535
15.1,-0.225334
15.15,-0.234847
15.2,-0.24408
15.25,-0.253038
15.3,-0.261718
15.35,-0.270116
15.4,-0.278222
15.45,-0.286018
15.5,-0.293483
15.55,-0.300595
15.6,-0.307332
15.65,-0.313669
15.7,-0.319586
15.75,-0.32507
15.8,-0.330107
15.85,-0.334694
15.9,-0.338833
15.95,-0.342533
16,-0.345814
16.05,-0.348699
16.1,-0.351215
16.15,-0.353394
16.2,-0.355268
16.25,-0.356872
16.3,-0.358237
16.35,-0.359391
16.4,-0.360361
16.45,-0.36117
16.5,-0.361839
16.55,-0.36238
16.6,-0.362806
16.65,-0.363119
16.7,-0.363322
16.75,-0.363412
16.8,-0.363379
16.85,-0.363215
16.9,-0.362902
16.95,-0.362418
17,-0.36174
17.05,-0.360842
17.1,-0.359692
17.15,-0.35826
17.2,-0.356521
17.25,-0.354448
17.3,-0.352014
17.35,-0.3492
17.4,-0.345989
17.45,-0.342375
17.5,-0.338352
17.55,-0.333919
17.6,-0.329075
17.65,-0.323824
17.7,-0.31817
17.75,-0.312117
17.8,-0.305664
17.85,-0.298805
17.9,-0.29153
17.95,-0.283825
18,-0.275675
18.05,-0.267061
18.1,-0.257963
18.15,-0.248363
18.2,-0.238243
18.25,-0.227591
18.3,-0.216407
18.35,-0.204698
18.4,-0.192481
18.45,-0.179781
18.5,-0.166643
18.55,-0.153123
18.6,-0.139282
18.65,-0.125194
18.7,-0.110937
18.75,-0.0966057
18.8,-0.0822913
18.85,-0.0680911
18.9,-0.0541024
18.95,-0.0404219
19,-0.0271428
19.05,-0.0143564
19.1,-0.0021516
19.15,0.00940041
19.2,0.0202294
19.25,0.0302819
19.3,0.0395154
19.35,0.0478997
19.4,0.0554235
19.45,0.0620865
19.5,0.0679082
19.55,0.0729186
19.6,0.0771653
19.65,0.0807014
19.7,0.0835901
19.75,0.0858945
19.8,0.0876781
19.85,0.0890009
19.9,0.0899089
19.95,0.0904384
20,0.0906121
20.05,0.0904384
20.1,0.0899089
20.15,0.0890009
20.2,0.0876781
20.25,0.0858945
20.3,0.0835901
20.35,0.0807014
20.4,0.0771653
20.45,0.0729186
20.5,0.0679082
20.55,0.0620865
20.6,0.0554235
20.65,0.0478997
20.7,0.0395154
20.75,0.0302819
20.8,0.0202294
20.85,0.00940041
20.9,-0.0021516
20.95,-0.0143564
21,-0.0271428
21.05,-0.0404219
21.1,-0.0541024
21.15,-0.0680911
21.2,-0.0822913
21.25,-0.0966057
21.3,-0.110937
21.35,-0.125194
21.4,-0.139282
21.45,-0.153123
21.5,-0.166643
21.55,-0.179781
21.6,-0.192481
21.65,-0.204698
21.7,-0.216407
21.75,-0.227591
21.8,-0.238243
21.85,-0.248363
21.9,-0.257963
21.95,-0.267061
22,-0.275675
22.05,-0.283825
22.1,-0.29153
22.15,-0.298805
22.2,-0.305664
22.25,-0.312117
22.3,-0.31817
22.35,-0.323824
22.4,-0.329075
22.45,-0.333919
22.5,-0.338352
22.55,-0.342375
22.6,-0.345989
22.65,-0.3492
22.7,-0.352014
22.75,-0.354448
22.8,-0.356521
22.85,-0.35826
22.9,-0.359692
22.95,-0.360842
23,-0.36174
23.05,-0.362418
23.1,-0.362902
23.15,-0.363215
23.2,-0.363379
23.25,-0.363412
23.3,-0.363322
23.35,-0.363119
23.4,-0.362806
23.45,-0.36238
23.5,-0.361839
23.55,-0.36117
23.6,-0.360361
23.65,-0.359391
23.7,-0.358237
23.75,-0.356872
23.8,-0.355268
23.85,-0.353394
23.9,-0.351215
23.95,-0.348699
24,-0.345814
24.05,-0.342533
24.1,-0.338833
24.15,-0.334694
24.2,-0.330107
24.25,-0.32507
24.3,-0.319586
24.35,-0.313669
24.4,-0.307332
24.45,-0.300595
24.5,-0.293483
24.55,-0.286018
24.6,-0.278222
24.65,-0.270116
24.7,-0.261718
24.75,-0.253038
24.8,-0.24408
24.85,-0.234847
24.9,-0.225334
24.95,-0.215535
25,-0.205442
25.05,-0.195044
25.1,-0.184329
25.15,-0.173289
25.2,-0.161916
25.25,-0.150208
25.3,-0.138161
25.35,-0.125778
25.4,-0.113068
25.45,-0.100043
25.5,-0.0867263
25.55,-0.0731446
25.6,-0.0593307
25.65,-0.0453177
25.7,-0.0311492
25.75,-0.016877
25.8,-0.00254897
25.85,0.0117798
25.9,0.026054
25.95,0.0402189
26,0.0542182
26.05,0.0679973
26.1,0.0815092
26.15,0.0947138
26.2,0.107582
26.25,0.12009
26.3,0.132225
26.35,0.143988
26.4,0.155398
26.45,0.166481
26.5,0.177277
26.55,0.187829
26.6,0.198182
26.65,0.208396
26.7,0.218521
26.75,0.228615
26.8,0.238724
26.85,0.248886
26.9,0.259133
26.95,0.269488
27,0.279971
27.05,0.290586
27.1,0.301327
27.15,0.312175
27.2,0.323111
27.25,0.334106
27.3,0.345119
27.35,0.356109
27.4,0.367036
27.45,0.377852
27.5,0.388513
27.55,0.398979
27.6,0.409211
27.65,0.419167
27.7,0.428816
27.75,0.438127
27.8,0.44707
27.85,0.455622
27.9,0.463759
27.95,0.471464
28,0.478722
28.05,0.485516
28.1,0.491832
28.15,0.497656
28.2,0.502967
28.25,0.507745
28.3,0.511964
28.35,0.515593
28.4,0.518601
28.45,0.520949
28.5,0.522597
28.55,0.523504
28.6,0.523626
28.65,0.522925
28.7,0.521367
28.75,0.51892
28.8,0.515564
28.85,0.511292
28.9,0.506101
28.95,0.500007
29,0.49304
29.05,0.485244
29.1,0.476676
29.15,0.467408
29.2,0.457522
29.25,0.447107
29.3,0.436269
29.35,0.425112
29.4,0.413749
29.45,0.402283
29.5,0.390819
29.55,0.379453
29.6,0.368275
29.65,0.35736
29.7,0.34677
29.75,0.336553
29.8,0.326743
29.85,0.317362
29.9,0.308413
29.95,0.299886
30,0.291766
30.05,0.284022
30.1,0.276614
30.15,0.269495
30.2,0.262612
30.25,0.25591
30.3,0.249338
30.35,0.242838
30.4,0.236355
30.45,0.229836
30.5,0.223239
30.55,0.21652
30.6,0.209643
30.65,0.202575
30.7,0.195296
30.75,0.187788
30.8,0.180034
30.85,0.172022
30.9,0.163743
30.95,0.155187
31,0.146342
31.05,0.137198
31.1,0.12774
31.15,0.117946
31.2,0.107793
31.25,0.0972534
31.3,0.0862985
31.35,0.0748978
31.4,0.0630235
31.45,0.0506474
31.5,0.0377411
31.55,0.024288
31.6,0.0102728
31.65,-0.00431085
31.7,-0.0194634
31.75,-0.0351749
31.8,-0.0514252
31.85,-0.0681884
31.9,-0.0854278
31.95,-0.103101
32,-0.121155
32.05,-0.139538
32.1,-0.158188
32.15,-0.177046
32.2,-0.196049
32.25,-0.215138
32.3,-0.234255
32.35,-0.25334
32.4,-0.272346
32.45,-0.291228
32.5,-0.309952
32.55,-0.328487
32.6,-0.346799
32.65,-0.364862
32.7,-0.382655
32.75,-0.400156
32.8,-0.417335
32.85,-0.434167
32.9,-0.450621
32.95,-0.46666
33,-0.482251
33.05,-0.497359
33.1,-0.511928
33.15,-0.525909
33.2,-0.539248
33.25,-0.551895
33.3,-0.563795
33.35,-0.574898
33.4,-0.585164
33.45,-0.594554
33.5,-0.603041
33.55,-0.610611
33.6,-0.617263
33.65,-0.623009
33.7,-0.627877
33.75,-0.631911
33.8,-0.635162
33.85,-0.637695
33.9,-0.639589
33.95,-0.64093
34,-0.641806
34.05,-0.642309
34.1,-0.642534
34.15,-0.642574
34.2,-0.642509
34.25,-0.64241
34.3,-0.642343
34.35,-0.642355
34.4,-0.642477
34.45,-0.642732
34.5,-0.643126
34.55,-0.643641
34.6,-0.644256
34.65,-0.644932
34.7,-0.645616
34.75,-0.646246
34.8,-0.646749
34.85,-0.647039
34.9,-0.647026
34.95,-0.646615
35,-0.645705
35.05,-0.644203
35.1,-0.642007
35.15,-0.63903
35.2,-0.635196
35.25,-0.630437
35.3,-0.624698
35.35,-0.617944
35.4,-0.610156
35.45,-0.601334
35.5,-0.591493
35.55,-0.58066
35.6,-0.568873
35.65,-0.556195
35.7,-0.542683
35.75,-0.528405
35.8,-0.513428
35.85,-0.497817
35.9,-0.48164
35.95,-0.464957
36,-0.447829
36.05,-0.430308
36.1,-0.41244
36.15,-0.394264
36.2,-0.375821
36.25,-0.357147
36.3,-0.338268
36.35,-0.31921
36.4,-0.299999
36.45,-0.280651
36.5,-0.261191
36.55,-0.241639
36.6,-0.222009
36.65,-0.202312
36.7,-0.182567
36.75,-0.162786
36.8,-0.142983
36.85,-0.123168
36.9,-0.103347
36.95,-0.0835284
37,-0.0637138
37.05,-0.0439064
37.1,-0.0241054
37.15,-0.00430349
37.2,0.015511
37.25,0.0353551
37.3,0.0552451
37.35,0.0752066
37.4,0.0952672
37.45,0.115456
37.5,0.135811
37.55,0.156364
37.6,0.17715
37.65,0.1982
37.7,0.219543
37.75,0.24121
37.8,0.263224
37.85,0.285603
37.9,0.308361
37.95,0.331511
38,0.355057
38.05,0.378998
38.1,0.403337
38.15,0.428068
38.2,0.45319
38.25,0.478695
38.3,0.50458
38.35,0.530846
38.4,0.557493
38.45,0.584526
38.5,0.611954
38.55,0.639786
38.6,0.668034
38.65,0.69671
38.7,0.725822
38.75,0.755377
38.8,0.785375
38.85,0.81581
38.9,0.846664
38.95,0.877905
39,0.909493
39.05,0.941371
39.1,0.973459
39.15,1.00566
39.2,1.03785
39.25,1.0699
39.3,1.10163
39.35,1.13286
39.4,1.16337
39.45,1.19293
39.5,1.22127
39.55,1.24813
39.6,1.27322
39.65,1.29626
39.7,1.31695
39.75,1.33501
39.8,1.35018
39.85,1.36225
39.9,1.37101
39.95,1.37635
